"University","Program","Course","Title","Credits","Bulletin"
"Virginia Commonwealth University","Biology","BIOL317","Ecology","3","3 lecture hours. 3 credits. Prerequisites: BIOL 151 and 152; BIOZ 151 or LFSC/BNFO 251; BIOZ 152 or LFSC/BNFO 252; CHEM 101 and CHEZ 101, all with a minimum grade of C; BIOL 200, MATH 200, MATH 201, STAT 210, STAT 212 or STAT 314. Biology majors must have completed BIOL 200. An introduction to the basic principles of ecology, including interactions among organisms and influences of the physical environment."
"Virginia Commonwealth University","Biology","BIOL318","Evolution","3","3 lecture hours. 3 credits. Prerequisites: BIOL 151 and 152; BIOZ 151 or LFSC/BNFO 251; BIOZ 152 or LFSC/BNFO 252; CHEM 101 and CHEZ 101, all with a minimum grade of C; BIOL 200, MATH 200, MATH 201, STAT 210, STAT 212 or STAT 314. Biology majors must have completed BIOL 200. An exploration of the theoretical and empirical foundations of evolutionary biology with a focus on the processes driving evolutionary change across all of life."
"Virginia Commonwealth University","Biology","BIOL475","Biology Capstone Seminar","3","1-3 seminar hours. 1-3 credits. Prerequisites: BIOL 300, BIOL 310, BIOL 317 and BIOL 318, each with a minimum grade of C. Enrollment is restricted to biology majors with senior standing. Students read assigned topical papers before class, prepare critical analyses, discuss and debate selected positions. See Schedule of Classes for specific topics. 702 Undergraduate courses"
"Virginia Commonwealth University","Biology","BIOL477","Biology Capstone Experience","0","variable hours. 0 credits. Prerequisites: BIOL 300,  BIOL 310, BIOL 317 and BIOL 318, each with a minimum grade of C; and 90 hours of undergraduate course work. The following courses qualify as a capstone experience if taken concurrently with this course: BIOL 492, BIOL 493, BIOL 495, BIOL 497 or other courses, including topics courses, which include the core competencies required for a capstone experience and are approved by the chair of the Department of Biology. Graded as pass/fail."
"Virginia Commonwealth University","Biology","BIOZ151","Introduction to Biological Science Laboratory I","1","3 laboratory hours. 1 credit. Prerequisite: MATH 139, MATH 141, MATH 151, MATH 200, MATH 201 or a satisfactory score on the math placement exam; and CHEM 100 with a minimum grade of B, CHEM 101 with a minimum grade of C or a satisfactory score on the chemistry placement exam. Pre- or corequisite: BIOL 151. Laboratory investigation of cellular metabolism, genetics and molecular biology, with an emphasis on formation and testing of hypotheses. Laboratory exercises will elaborate themes discussed in BIOL 151. "
"Virginia Commonwealth University","Biology","BIOZ152","Introduction to Biological Science Laboratory II","1","3 laboratory hours. 1 credit. Prerequisites: BIOL 151, BIOZ 151 and CHEM 101, each with a minimum grade of C. Pre- or corequisite: BIOL 152. Laboratory investigation of evolutionary concepts, evolution of organisms, biological diversity and ecology, with an emphasis on formation and testing of hypotheses. Laboratory exercises will elaborate themes discussed in BIOL 152."
"Virginia Commonwealth University","Biology","BIOZ476","Molecular Capstone Laboratory","2","1 lecture and 3 laboratory hours. 2 credits. Prerequisites: BIOL 300 and BIOL 310, each with a minimum grade of C; and 90 credit hours of undergraduate course work. Application of basic methods used in cellular and molecular biology to the investigation of topics of current biological interest. Emphasis on experimental design, data collection and analysis, communication skills, critical thinking, and ethical and social responsibility. BIOZ 491. Topics in Biology Laboratory. 1-4 Hours. Semester course; variable hours. Variable credit. Prerequisites: BIOL 300 with a minimum grade of C. Laboratory investigations in a selected topic of biology. See the Schedule of Classes for specific topics to be offered each semester and prerequisites."
"Virginia Commonwealth University","Biology","CHEM101","General Chemistry I","3","3 lecture and 1 recitation hours. 3 credits. Prerequisites: MATH 139, MATH 141, MATH 151, MATH 200, MATH 201 or satisfactory score on the VCU mathematics placement test within the one-year period immediately preceding the beginning of the course; and CHEM 100 with a minimum grade of B or satisfactory score on the chemistry placement exam/assessment within the one-year period immediately preceding the beginning of the course. Fundamental principles and theories of chemistry."
"Virginia Commonwealth University","Biology","CHEM102","General Chemistry II","3","3 lecture and 1 recitation hours. 3 credits. Prerequisites: MATH 151, MATH 200, MATH 201 or satisfactory score on the VCU Mathematics Placement Test within the one-year period immediately preceding the beginning of the course; and CHEM 101 with a minimum grade of C. Fundamental principles and theories of chemistry, including qualitative analysis."
"Virginia Commonwealth University","Biology","CHEM301","Organic Chemistry","3","Continuous courses; 3 lecture hours. 3-3 credits. Prerequisite: CHEM 102 with a minimum grade of C. Prerequisite for CHEM 302: CHEM 301 with a minimum grade of C. A comprehensive survey of aliphatic and aromatic compounds with emphasis on their structure, properties, reactions, reaction mechanisms and stereochemistry."
"Virginia Commonwealth University","Biology","CHEM302","Organic Chemistry","3","Continuous courses; 3 lecture hours. 3-3 credits. Prerequisite: CHEM 102 with a minimum grade of C. Prerequisite for CHEM 302: CHEM 301 with a minimum grade of C. A comprehensive survey of aliphatic and aromatic compounds with emphasis on their structure, properties, reactions, reaction mechanisms and stereochemistry."
"Virginia Commonwealth University","Biology","CHEZ101","General Chemistry Laboratory I","1","1 lecture and 2 laboratory hours. 1 credit. Pre- or corequisite: CHEM 101. Experimental work correlated with CHEM 101 with selected forensic science applications. Each student is charged for breakage incurred. Approved safety glasses are required. Failure to check out of laboratory upon withdrawal or for other reasons will incur a charge billed from the Student Accounting Department."
"Virginia Commonwealth University","Biology","CHEZ102","General Chemistry Laboratory II","1","1 lecture and 2 laboratory hours. 1 credit. Prerequisites: CHEM 101 and CHEZ 101 with minimum grades of C. Pre- or corequisite: CHEM 102. Experimental work includes qualitative analysis with selected forensic science applications. Each student is charged for breakage incurred. Approved safety glasses are required. Failure to check out of laboratory upon withdrawal or for other reasons will incur a charge billed from the Student Accounting Department."
"Virginia Commonwealth University","Biology","CHEZ301","Organic Chemistry Laboratory I","2","4 laboratory hours. 2 credits. Prerequisites: CHEM 102 and CHEZ 102 with minimum grades of C. Pre- or corequisite: CHEM 301. Experimental work correlated with CHEM 301. Each student is charged for breakage incurred. Approved safety glasses are required. Failure to check out of laboratory upon withdrawal or for other reasons will incur a charge billed from the Student Accounting Department."
"Virginia Commonwealth University","Biology","CHEZ302","Organic Chemistry Laboratory II","2","4 laboratory hours. 2 credits. Prerequisites: CHEM 301 and CHEZ 301 with minimum grades of C. Pre- or corequisite: CHEM 302. Experimental work correlated with CHEM 302. Each student is charged for breakage incurred. Approved safety glasses are required. Failure to check out of laboratory upon withdrawal or for other reasons will incur a charge billed from the Student Accounting Department."
"Virginia Commonwealth University","Biology","HUMS202","Choices in a Consumer Society","1","1 lecture hour (delivered online). 1 credit. Corequisite: UNIV 111 or UNIV 112. Provides a framework for understanding the nature of choices made in a consumer society, with an emphasis on the financial consequences of those choices. Students will gain the practical knowledge needed to make informed personal financial decisions as they address immediate, short-term and long-term consumer choices. Administered primarily as a self-paced, computer-aided instructional course. HUMS 291. Special Topics in the Humanities and Sciences. 1-4 Hours. Semester course; 1-4 credits. May be repeated with different content. Specialized topics in the liberal arts and sciences designed to provide an overview of a topic not provided by an existing course or program. May be multidisciplinary. Graded as pass/fail or normal letter grading at the option of the instructor."
"Virginia Commonwealth University","Biology","PHYS201","General Physics I","4","3 lecture and 3 laboratory hours. 4 credits. Prerequisite: MATH 151. Designed primarily for life-science majors. Basic concepts of motion, waves and heat. Not applicable toward the physics major."
"Virginia Commonwealth University","Biology","PHYS202","General Physics II","4","3 lecture and 3 laboratory hours. 4 credits. Prerequisite: PHYS 201 or PHYS 207. Designed primarily for life-science majors. Basic concepts of electricity, magnetism, light and modern physics. Not applicable toward the physics major."
"Virginia Commonwealth University","Biology","STAT210","Basic Practice of Statistics","3","3 lecture hours (delivered online, face-to-face or hybrid). 3 credits. Prerequisite: satisfactory score on the VCU Mathematics Placement Test within the one-year period immediately preceding the beginning of the course, or MATH 131, MATH 139, MATH 141, MATH 151, MATH 200 or MATH 201. Designed for students who will likely take another quantitative reasoning course for which statistics may be a prerequisite. Not open to mathematical sciences or computer science majors. Topics include examining distributions, examining relationships, producing data, sampling distributions and probability, introduction to inference. Students may receive credit toward graduation for only one of STAT 206, STAT 208, STAT 210, STAT 212, STAT 312 or SCMA 301."
"Virginia Commonwealth University","Biomedical Engineering","CHEM101","General Chemistry I","3","3 lecture and 1 recitation hours. 3 credits. Prerequisites: MATH 139, MATH 141, MATH 151, MATH 200, MATH 201 or satisfactory score on the VCU mathematics placement test within the one-year period immediately preceding the beginning of the course; and CHEM 100 with a minimum grade of B or satisfactory score on the chemistry placement exam/assessment within the one-year period immediately preceding the beginning of the course. Fundamental principles and theories of chemistry."
"Virginia Commonwealth University","Biomedical Engineering","CHEM102","General Chemistry II","3","3 lecture and 1 recitation hours. 3 credits. Prerequisites: MATH 151, MATH 200, MATH 201 or satisfactory score on the VCU Mathematics Placement Test within the one-year period immediately preceding the beginning of the course; and CHEM 101 with a minimum grade of C. Fundamental principles and theories of chemistry, including qualitative analysis."
"Virginia Commonwealth University","Biomedical Engineering","CHEZ101","General Chemistry Laboratory I","1","1 lecture and 2 laboratory hours. 1 credit. Pre- or corequisite: CHEM 101. Experimental work correlated with CHEM 101 with selected forensic science applications. Each student is charged for breakage incurred. Approved safety glasses are required. Failure to check out of laboratory upon withdrawal or for other reasons will incur a charge billed from the Student Accounting Department."
"Virginia Commonwealth University","Biomedical Engineering","CHEZ102","General Chemistry Laboratory II","1","1 lecture and 2 laboratory hours. 1 credit. Prerequisites: CHEM 101 and CHEZ 101 with minimum grades of C. Pre- or corequisite: CHEM 102. Experimental work includes qualitative analysis with selected forensic science applications. Each student is charged for breakage incurred. Approved safety glasses are required. Failure to check out of laboratory upon withdrawal or for other reasons will incur a charge billed from the Student Accounting Department."
"Virginia Commonwealth University","Biomedical Engineering","EGRB101","Biomedical Engineering Practicum","2","2 lecture hours. 2 credits. Enrollment is restricted to students in the biomedical engineering department and requires permission of course coordinator. This course involves the introduction of clinical procedures and biomedical devices and technology to biomedical engineering freshmen. Students will tour medical facilities, clinics and hospitals and will participate in medical seminars, workshops and medical rounds. Students will rotate among various programs and facilities including orthopaedics, cardiology, neurology, surgery, otolaryngology, emergency medicine, pharmacy, dentistry, nursing, oncology, physical medicine, ophthalmology, pediatrics and internal medicine."
"Virginia Commonwealth University","Biomedical Engineering","EGRB102","Introduction to Biomedical Engineering","3","3 lecture hours. 3 credits. Prerequisite: MATH 151, MATH 200, MATH 201 or a satisfactory score on the math placement exam. Biomedical engineering is a multidisciplinary STEM field that combines biology and engineering, applying engineering principles and materials to medicine and health care. This course provides students with an introduction to biomedical engineering, beginning with a framework of core engineering principles, expanding to specializations within the field of biomedical engineering and connecting the concepts to real-world examples in medicine and health care."
"Virginia Commonwealth University","Biomedical Engineering","EGRB104","Introduction to Biomedical Engineering Laboratory","1","3 laboratory hours. 1 credit. Enrollment is restricted to biomedical engineering majors. This laboratory course introduces students to practical laboratory skills required for biomedical engineering. Following successful completion of this course, students will be able to construct and design simple mechanical-electric prototypes; solder electrical components to a breadboard; construct a bridge measurement circuit in order to measure a physiological signal; use a digital multimeter to analyze a circuit. This course is also a writing- intensive course and will provide students with the skills necessary to analyze and write up the results of their experiments. Non-technical skills that will be introduced in this course include how to set up and maintain a laboratory notebook; record and analyze data in Excel, including how to use Excel formulas, create pivot tables and generate graphs; how to plan and execute an experiment; how to read and write a laboratory report in IMRD format; how to write a design concept paper; oral presentation."
"Virginia Commonwealth University","Biomedical Engineering","EGRB111","Introduction to Biological Systems in Engineering","3","3 lecture hours. 3 credits. Prerequisites: MATH 151, MATH 200, MATH 201 or a satisfactory score on the math placement exam; and CHEM 100 with a minimum grade of B, CHEM 101, CHEM 102 or a satisfactory score on the chemistry placement exam. The cell is the principle unit of the human body. In this course, students will explore how the cell works from an engineering perspective. Students will learn the essential functions of cells, the components of cells and terminology related to cell biology. The course will also introduce key concepts in engineering, and students will learn how to apply these concepts to mammalian cells."
"Virginia Commonwealth University","Biomedical Engineering","EGRB203","Statics and Mechanics of Materials","3","3 lecture hours. 3 credits. Prerequisites: MATH 201 and PHYS 207, both with a minimum grade of C. Enrollment is restricted to biomedical engineering majors. The theory and application of engineering mechanics applied to the design and analysis of rigid and deformable structures. The study of forces and their effects, including equilibrium of two- and three-dimensional bodies, stress, strain and constitutive relations, bending, torsion, shearing, deflection, and failure of materials."
"Virginia Commonwealth University","Biomedical Engineering","EGRB209","Applied Physiology for Biomedical Engineers","4","3 lecture and 3 laboratory hours. 4 credits. Prerequisite: MATH 200 with a minimum grade of C. Corequisite: EGRB 111. Enrollment is restricted to biomedical engineering students. This course introduces the concepts of mathematical models and describes physiological systems using applied mathematics and engineering principles. Physiological systems will include a comprehensive study of muscle, nervous, cardiovascular, respiratory, renal and endocrine, beginning with applied biophysical concepts in cell anatomy and physiology leading into the various physiological systems. This course also incorporates a laboratory that uses the knowledge-based tools gained through lecture and implements them in practice using exercises in biochemical and physiological calculations, osmosis, electrical network simulation of diffusion, EEG, blood pressure, ECG and spirometry."
"Virginia Commonwealth University","Biomedical Engineering","EGRB215","Computational Methods in Biomedical Engineering","3","3 lecture hours. 3 credits. Prerequisite: MATH 201 with a minimum grade of C. Corequisite: MATH 301, MATH 310 or permission of instructor. Enrollment is restricted to students with sophomore standing in biomedical engineering. The goal of this course is to enhance students' software skills for subsequent biomedical engineering courses and laboratories, as well their careers. The course covers the basic fundamentals of programming in MATLAB, as well as data analysis of biomedical data. An important component of this course is developing problem-solving skills."
"Virginia Commonwealth University","Biomedical Engineering","EGRB301","Biomedical Engineering Design Practicum","3","3 lecture hours. 3 credits. Prerequisites: EGRB 101, EGRB 102, EGRB 203, EGRB 209, EGRB 215, EGRE 206 (or equivalent), each with a minimum grade of C. Restricted to students with junior standing in the biomedical engineering program. Explores the professional and ethical responsibilities of a biomedical engineer. Emphasis will be placed on design issues associated with biomedical engineering, teamwork, regulatory issues and human and animal subjects. 664 Undergraduate courses"
"Virginia Commonwealth University","Biomedical Engineering","EGRB303","Biotransport Processes","3","3 lecture hours. 3 credits. Prerequisites: EGRB 209, MATH 301 and MATH 310, each with a minimum grade of C. Course involves the study of fundamental principles of fluid mechanics and mass transport as well as application of these principles to physiological systems. Fluid mechanics principles covered will include conservation of mass and momentum, laminar and turbulent flow, Navier-Stokes equations, dimensional analysis, Bernoulli’s equation, and boundary layer theory. Mass transport principles will include diffusion, convection, transport in porous media and transmembrane transport. Concepts will be applied to studying diffusion in biological tissues, electrolyte transport, vascular transport, blood flow mechanics and cardiovascular flow. The course will also cover organ-specific transport processes, including oxygen transport in the lungs and blood and mass transport in the kidney."
"Virginia Commonwealth University","Biomedical Engineering","EGRB307","Biomedical Instrumentation","4","3 lecture and 3 laboratory hours. 4 credits. Prerequisites: EGRB 102, EGRB 209, EGRB 215 and EGRE 206, each with a minimum grade of C. A study of the physical principles, design and clinical uses of biomedical instrumentation. Analysis and design of low frequency electronic circuits, which are most frequently used in biomedical instruments, will be conducted. Analysis of biosensors, biopotential electrodes, the measurements of biopotential signals including electrocardiogram, electroencephalogram and electromyogram, blood pressure, blood flow, and respiratory system will be conducted. Laboratory work on basic biomedical electronics and instrumentation will be performed."
"Virginia Commonwealth University","Biomedical Engineering","EGRB310","Biomechanics","4","3 lecture and 3 laboratory hours. 4 credits. Prerequisites: EGRB 203, EGRB 209 and EGRB 215; MATH 200 and MATH 201, all with a minimum grade of C. Corequisites: MATH 301 and MATH 310. A study of the forces, stresses and strains in the human body during normal function. Emphasis is placed on the mechanics of various components of the body including hard (bone) and soft (skin, vessels, cartilage, ligaments, tendons) tissues from a structure-function perspective. Stress and strain relationships for these biomaterials will be analyzed based upon the fundamentals of engineering mechanics. In addition, the distinctive features of biological materials will be studied with respect to their differences from nonliving materials and elaborated upon in laboratory exercises using material evaluation protocols."
"Virginia Commonwealth University","Biomedical Engineering","EGRB315","Device Design Methods","3","2 lecture and 3 laboratory hours. 3 credits. Prerequisites: EGRB 203, EGRB 215, EGRB 307, MATH 301 and MATH 310, all with a minimum grade of C. The main goal of the course is to introduce a variety of design and prototyping methods for biomedical devices. The focus will be on: (1) using first approximations and Solidworks for mechanical design and (2) using Arduino microcontrollers for controlling sensors and actuators."
"Virginia Commonwealth University","Biomedical Engineering","EGRB401","Biomedical Engineering Senior Design Studio","3","9 laboratory hours. 3 credits. Prerequisites: EGRB 301, EGRB 303 or EGRB 308; EGRB 307, EGRB 310, EGRB 315 and EGRB 427, all with a minimum grade of C. Corequisite: STAT 441. Enrollment is restricted to students with senior standing in the Department of Biomedical Engineering or by permission of instructor. A minimum of nine laboratory hours per week is dedicated to the design, development and execution of the senior design (capstone) project for biomedical engineering under the direction of a faculty research adviser in biomedical engineering or an acceptable substitute as determined by the course coordinator. Tasks include team meetings (for team projects), brainstorming, sponsor advising, designing, fabrications, assembling, reviewing, studying, researching, testing and validating projects. Monthly progress reports are due to the research adviser and course coordinator. At the end of the first semester, each team will orally present to the BME faculty project background information and discuss potential technical approaches and deliverables."
"Virginia Commonwealth University","Biomedical Engineering","EGRB402","Biomedical Engineering Senior Design Studio","3","9 laboratory hours. 3 credits. Prerequisites: Completion of EGRB 401 with a minimum grade of C. A minimum of nine laboratory hours per week is dedicated to the design, development and execution of the senior design (capstone) project for biomedical engineering under the direction of a faculty research adviser in biomedical engineering or an acceptable substitute as determined by the course coordinator. Tasks include team meetings (for team projects), brainstorming, sponsor advising, designing, fabrications, assembling, reviewing, studying, researching, testing and validating projects. Monthly progress reports are due to the research adviser and course coordinator. Final project reports must be submitted before the end of the semester. All design teams must participate in the College of Engineering public poster session. At the end of the semester and conclusion of the two-semester design process, teams must present their final designs and deliverables before the BME faculty."
"Virginia Commonwealth University","Biomedical Engineering","EGRB427","Biomaterials","3","3 lecture hours. 3 credits. Prerequisite: EGRB 209 with a minimum grade of C. Enrollment is restricted to students with junior standing in biomedical engineering or with permission of the instructor. Principles of materials science as it relates to the use of materials in the body. Characterization of biomaterials. Study of the properties of biomedical materials used as implants, prostheses, orthosis and as medical devices in contact with the human body. Analysis of physical, chemical, thermal and physiological response factors associated with materials and implant devices used in the human body. EGRB 491. Special Topics. 1-4 Hours. Semester course; 1-4 lecture hours. 1-4 credits. May be repeated with different topics. Advanced study of a selected topic in biomedical engineering. See the Schedule of Classes for specific topics to be offered each semester and prerequisites, corequisites or restrictions. Chemical and Life Science Engineering (CLSE)"
"Virginia Commonwealth University","Biomedical Engineering","EGRE206","Electric Circuits","4","3 lecture and 3 laboratory hours. 4 credits. Prerequisites: MATH 200; and one of EGRE 101 or EGRB 102, or both EGMN 190 and EGMN 203, or both EGMN 102 and EGMN 190, as applicable per department, all with minimum grades of C. Corequisite: MATH 201. An introduction to electrical circuit theory and its application to practical direct and alternating current circuits. Topics include Kirchhoff's Laws (review from departmental prerequisites, as applicable), fundamental principles of network theorems, transient and steady- state response of RC, RL and RLC circuits by classical methods, time- domain and frequency-domain relationships, phasor analysis and power. Laboratory work, practical applications and integral laboratory demonstrations emphasize and illustrate the fundamentals presented in this course. 672 Undergraduate courses"
"Virginia Commonwealth University","Biomedical Engineering","ENGR395","Professional Development","1","1 lecture and 1 workshop hour. 1 credit. Enrollment is restricted to majors in the School of Engineering. Professional development course to help prepare students to find a job and succeed in a professional environment, and specifically to work as an intern or in a cooperative education position. Topics covered include career paths; job searches; resume and cover letter writing; preparing for the interview; personal assessment of interests, values and strengths; networking; professional and ethical behavior on the job; overview of legal issues related to hiring, such as nondisclosure agreements and noncompete clauses; overview of personal finance management at the first job; workplace safety; and expectations and requirements for internships and cooperative education positions. 676 Undergraduate courses"
"Virginia Commonwealth University","Biomedical Engineering","MATH200","Calculus with Analytic Geometry I","4","4 lecture hours. 4 credits. Prerequisite: MATH 151 with a minimum grade of C or satisfactory score on the VCU Mathematics Placement Test within the one-year period immediately preceding the beginning of the course. Limits, continuity, derivatives, differentials, antiderivatives and definite integrals."
"Virginia Commonwealth University","Biomedical Engineering","MATH201","Calculus with Analytic Geometry II","4","4 lecture hours. 4 credits. Prerequisite: MATH 200 with a minimum grade of C. Applications of differentiation and integration. Selected topics in analytic geometry. Infinite series."
